"taxon","donor_id","target_id","donor_ug","target_ug","threshold_admix","threshold_zone","threshold_used","donor","target","W_j","T_obs","T_pred","T_ci_lower","T_ci_upper","prob_allowed","allowed_obs","allowed_boot","is_neighbor","n_donor","n_target","too_small","state_obs","state_boot","fst_sig","Nboot"
"ACH.AGG",18,3,"UG 18","UG 03",0.0157919338528995,0.0213456149024095,0.0157919338528995,"18","03",0.112849752776178,0.0367769518130804,0.0362198060913844,0.0237079843265142,0.0532927442514458,0,FALSE,FALSE,FALSE,23,47,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",19,3,"UG 19","UG 03",0.0157919338528995,0.0213456149024095,0.0157919338528995,"19","03",0.112849752776178,0.0316001156638928,0.0304392342932969,0.0194473423065495,0.0415048359122053,0,FALSE,FALSE,FALSE,36,47,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",20,3,"UG 20","UG 03",0.0157919338528995,0.0213456149024095,0.0157919338528995,"20","03",0.112849752776178,0.0171581641198873,0.0148164645237353,0.00378838377607213,0.02701177964916,0.55,FALSE,TRUE,FALSE,31,47,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",21,3,"UG 21","UG 03",0.0157919338528995,0.0213456149024095,0.0157919338528995,"21","03",0.112849752776178,0.0303799691134326,0.0295942099948097,0.01948688387007,0.0418131011957146,0,FALSE,FALSE,FALSE,16,47,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",22,3,"UG 22","UG 03",0.0157919338528995,0.0213456149024095,0.0157919338528995,"22","03",0.112849752776178,0.0167435832532393,0.0156690834484546,0.000887682633230915,0.0398442894994478,0.51,FALSE,TRUE,TRUE,14,47,FALSE,"not_allowed","allowed",TRUE,100
"ACH.AGG",1,4,"UG 01","UG 04",0.0157919338528995,0.0213456149024095,0.0157919338528995,"01","04",0.133568124183465,-0.00585834206654429,-0.00623268951633114,-0.0140481579788795,0.00281319423964018,1,TRUE,TRUE,TRUE,55,54,FALSE,"allowed","allowed",TRUE,100
"ACH.AGG",2,4,"UG 02","UG 04",0.0157919338528995,0.0213456149024095,0.0157919338528995,"02","04",0.133568124183465,0.0130270731764123,0.0121226837720209,-0.000502673572113434,0.0245966075078829,0.72,TRUE,TRUE,FALSE,35,54,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",3,4,"UG 03","UG 04",0.0157919338528995,0.0213456149024095,0.0157919338528995,"03","04",0.133568124183465,-0.00281961373924772,-0.00271299295596275,-0.0111112843929123,0.00537080081693149,1,TRUE,TRUE,TRUE,47,54,FALSE,"allowed","allowed",TRUE,100
"ACH.AGG",4,4,"UG 04","UG 04",0.0157919338528995,0.0213456149024095,0.0157919338528995,"04","04",,,,,,,,,FALSE,54,54,FALSE,"not_considered","not_considered",,100
"ACH.AGG",5,4,"UG 05","UG 04",0.0157919338528995,0.0213456149024095,0.0157919338528995,"05","04",0.133568124183465,0.0166460851659681,0.0161245055387937,0.00556495451710466,0.0274022128484559,0.49,FALSE,FALSE,TRUE,79,54,FALSE,"not_allowed","not_allowed",TRUE,100
"ACH.AGG",6,4,"UG 06","UG 04",0.0157919338528995,0.0213456149024095,0.0157919338528995,"06","04",0.133568124183465,0.00243550754139257,0.00277927197283421,-0.0103207782011052,0.0145914556338277,0.98,TRUE,TRUE,FALSE,45,54,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",7,4,"UG 07","UG 04",0.0157919338528995,0.0213456149024095,0.0157919338528995,"07","04",0.133568124183465,0.0175203388062626,0.0168614366228031,0.0038967518553944,0.0281779400668284,0.41,FALSE,FALSE,FALSE,62,54,FALSE,"not_considered","not_considered",TRUE,100
